X,Y,Name,description,Power,Address,Latitude,Longitude,Provider
100.433377,13.780855,โชว์รูมเกียร์ธนบุรี (ตลิ่งชัน),"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร",13.780855,100.433377,EA
100.588835,13.730031,คอนโดโอเรียลเต็ล ทาวเวอร์ (เอกมัยซอย12),"Type2: 22 kW
CCS2: 135 kW, 200A
Parking",135 kW,"คลองตันเหนือ, วัฒนา, กรุงเทพมหานคร",13.730031,100.588835,EA
100.504815,13.863901,7-11 รัตนาธิเบศร์ 22,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"บางเขน, เมืองนนทบุรี, นนทบุรี",13.863901,100.504815,EA
100.366883,13.636886,ม่วงศิริ (บางบอน5),"Type2: 22 kW
CCS2: 2x 135 kW, 200A
Parking",135 kW,"แสมดำ, บางขุนเทียน, กรุงเทพมหานคร",13.636886,100.366883,EA
100.679945,13.822656,MG เซควอญ่า สาขารามอินทรา,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"คันนายาว, คันนายาว, กรุงเทพมหานคร",13.822656,100.679945,EA
100.709057,13.812495,คาลเท็กซ์ รามอินทรา กม.14,"Type2: CLOSED
CCS2: 2x 135 kW, 200A
Parking",135 kW,"มีนบุรี, มีนบุรี, กรุงเทพมหานคร",13.812495,100.709057,EA
100.650286,13.665111,Index Living Mall สาขาบางนา,"Type2: 22 kW, CLOSED
CCS2: 122 kW, 200A
parking index",122 kW,"บางนา, บางนา, กรุงเทพมหานคร",13.665111,100.650286,EA
100.522771,13.822851,ซัสโก้ สาขาวงศ์สว่าง,"Type2: 22 kW, CLOSED
CCS2: 2x 110 kW, 200A
PARKING",110 kW,"บางซื่อ, บางซื่อ, กรุงเทพมหานคร",13.822851,100.522771,EA
100.419926,13.758716,วินนิ่งเซเว่น ฟุตบอล คลับ สาย 1,"Type2: 22 kW, CLOSED
CCS2: 2x 110 kW, 200A
Parking",110 kW,"บางระมาด, ตลิ่งชัน, กรุงเทพมหานคร",13.758716,100.419926,EA
99.907608,12.996351,โชว์รูม โตโยต้าชัวร์ เมืองเพชร,"Type2: 22 kW, CLOSED
CCS2: 2x 110 kW, 200A
Paring",110 kW,"ท่ายาง, ท่ายาง, เพชรบุรี",12.996351,99.907608,EA
100.502822,13.710567,Condo ศุภาลัยริเวอร์ เพลส (ถ.เจริญนคร),"Type2: 22 kW
CCS2: 2x 90 kW, 200A
Parking",90 kW,"บางลำภูล่าง, คลองสาน, กรุงเทพมหานคร",13.710567,100.502822,EA
100.572318,13.768085,ซัสโก้ สาขารัชดาภิเษก (ขาเข้า),"Type2: 22 kW
CCS2: 75 kW
Parking",75 kW,"ห้วยขวาง, ห้วยขวาง, กรุงเทพมหานคร",13.768085,100.572318,EA
100.529344,13.827128,A.C.T สาขาวงศ์สว่าง,"Type2: CLOSED
CCS2: 2x 75 kW
parking  A.C.T.",75 kW,"บางซื่อ, บางซื่อ, กรุงเทพมหานคร",13.827128,100.529344,EA
100.406239,13.737121,MG พระนคร (กาญจนาภิเษก),"Type2: CLOSED
CCS2: 2x 75 kW
Parking",75 kW,"บางไผ่, บางแค, กรุงเทพมหานคร",13.737121,100.406239,EA
100.406431,13.732931,ซัสโก้ กาญจนาภิเษก,"Type2: 22 kW
CCS2: 2x 75 kW
Parking",75 kW,"บางแม่นาง, บางใหญ่, นนทบุรี",13.732931,100.406431,EA
100.492669,13.863557,7-11 นนทบุรี ซอย8 (เลี่ยงเมืองนนท์),"Type2: CLOSED
CCS2: 2x 75 kW
Parking",75 kW,"บางกระสอ, เมืองนนทบุรี, นนทบุรี",13.863557,100.492669,EA
100.408105,13.694502,เดอะ เอ็กซ์เพลส มอลล์ (ถ.กาญจนาภิเษก),"Type2: CLOSED
CCS2: 2x 75 kW
Parking",75 kW,"บางแค, บางแค, กรุงเทพมหานคร",13.694502,100.408105,EA
100.481051,13.87115,ภัตตาคารแวร์ซาย พาเพส นนทบุรี,"Type2: CLOSED
CCS2: 2x 75 kW
Parking",75 kW,"บางกระสอ, เมืองนนทบุรี, นนทบุรี",13.87115,100.481051,EA
100.433719,13.659461,ซัสโก้ สาขาปากท่อ กม.6,"Type2: CLOSED
CCS2: 2x 75 kW
Parking",75 kW,"แสมดำ, บางขุนเทียน, กรุงเทพมหานคร",13.659461,100.433719,EA
100.478148,13.640591,พงษ์ตระกูล เพอเฟ็ค แลนด์ ซอยพุทธบูชา36,"Type2: 22 kW
CCS2: 2x 75 kW
Parking",75 kW,"บางมด, ทุ่งครุ, กรุงเทพมหานคร",13.640591,100.478148,EA
100.406773,13.670545,A.C.T สาขาบางบอน,"Type1: 22 kW
Type2: 22 kW
CCS2: 75 kW
 Bridgestone A.C.T (Thailand) Co.,Ltd. Bangbon Branch",75 kW,"บางบอน, บางบอน, กรุงเทพมหานคร",13.670545,100.406773,EA
100.505059,13.627212,ปั้มน้ำมัน ประชาอุทิศ ปิโตรเลี่ยม (ถ.ประชาอุทิศ),"Type2: 22 kW
CCS2: 2x 75 kW
Parking",75 kW,"ทุ่งครุ, ทุ่งครุ, กรุงเทพมหานคร",13.627212,100.505059,EA
100.647431,13.804935,SCB สาขาถนนนวมินทร์,"Type2: 22 kW
CCS2: 2x 75 kW
Parking scb",75 kW,"คลองกุ่ม, บึงกุ่ม, กรุงเทพมหานคร",13.804935,100.647431,EA
100.50906,13.91258,ซัสโก้ สาขาติวานนท์,"Type2: CLOSED
CCS2: 2x 75 kW
Parking",75 kW,"ปากเกร็ด, ปากเกร็ด, นนทบุรี",13.91258,100.50906,EA
100.652351,13.814645,A.C.T สาขานวมินทร์,"Type2: 22 kW
CCS2: 75 kW
Bridgestone A.C.T (Thailand) Co.,Ltd. Nawamin Branch",75 kW,"คลองกุ่ม, บึงกุ่ม, กรุงเทพมหานคร",13.814645,100.652351,EA
100.611272,13.63614,Kins ทำเบาะรถยนต์ เทพารักษ์,"Type2: CLOSED
CCS2: 2x 75 kW
Parking",75 kW,"เทพารักษ์, เมืองสมุทรปราการ, สมุทรปราการ",13.63614,100.611272,EA
100.633457,13.854002,SCB สาขา รามอินทรา กม. 4.5,"Type2: 22 kW, CLOSED
CCS2: 2x 75 kW
PARKING SCB",75 kW,"ท่าแร้ง, บางเขน, กรุงเทพมหานคร",13.854002,100.633457,EA
100.369934,13.636605,The Steel (บางบอน 5),"Type2: 22 kW
CCS2: 2x 75 kW
Parking",75 kW,"บางบอน, บางบอน, กรุงเทพมหานคร",13.636605,100.369934,EA
100.691478,13.795896,SCB สาขา เสรีไทย (สวนสยาม),"Type2: 22 kW
CCS2: 2x 75 kW
PARKING  SCB",75 kW,"คลองกุ่ม, บึงกุ่ม, กรุงเทพมหานคร",13.795896,100.691478,EA
100.421632,13.949241,ดูโฮม สาขาบางบัวทอง,"Type2: 22 kW
CCS2: 2x 75 kW
Parking",75 kW,"ละหาร, บางบัวทอง, นนทบุรี",13.949241,100.421632,EA
100.761461,13.721812,บริษัท 909 มหาคุณ จำกัด,"Type1: 22 kW
Type2: 22 kW
CCS2: 2x 75 kW
Parking",75 kW,"ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร",13.721812,100.761461,EA
100.79471,13.719229,หจก. พีอาร์กรุ๊ป 1998,"Type2: 22 kW
CCS2: 2x 75 kW
Parking",75 kW,"ทับยาว, ลาดกระบัง, กรุงเทพมหานคร",13.719229,100.79471,EA
100.574743,13.821773,A.C.T สาขารัชดาภิเษก,"Type2: 22 kW
CCS2: 2x 58 kW
Parking  A.C.T",57 kW,"จตุจักร, จตุจักร, กรุงเทพมหานคร",13.821773,100.574743,EA
100.624068,13.848906,บิ๊กซี มัยลาภ,"CCS2: 2x 40 kW
Parking",40 kW,"ท่าแร้ง, บางเขน, กรุงเทพมหานคร",13.848906,100.624068,EA
100.620698,13.708782,MG เซอร์วิส เซ็นเตอร์ อ่อนนุช,"Type2: CLOSED
CCS2: 2x 30 kW
Parking",30 kW,"สวนหลวง, สวนหลวง, กรุงเทพมหานคร",13.708782,100.620698,EA
100.619834,13.811493,เดอะคริสตัล เอกมัย-รามอินทรา,"Type2: 22 kW
CCS2: 
Parking",22 kW,"ลาดพร้าว, ลาดพร้าว, กรุงเทพมหานคร",13.811493,100.619834,EA
100.829465,13.693468,สยามพรีเมียมเอ้าท์เล็ต,"Type2: 2x 22 kW
CCS2: 
Parking",22 kW,"บางเสาธง, บางเสาธง, สมุทรปราการ",13.693468,100.829465,EA
100.547685,13.679603,ซัสโก้ สาขายานนาวา,"Type2: 5 kW
CCS2: 
PARKING",4 kW,"ช่องนนทรี, ยานนาวา, กรุงเทพมหานคร",13.679603,100.547685,EA
